Star,SimbadName,Teff,logg,feh,class,is_host,age_gyr
HD192117,HD192117,5479,4.48,-0.04,single,False,7.079457843841373
HD19230,HD19230,5254,4.63,-0.57,single,False,2.8183829312644493
HD192310,HD192310,5166,4.51,-0.04,LMPH,True,10.0
HD192865,HD192865,6307,4.44,0.13,single,False,0.056234132519034905
HD192961,HD192961,4624,4.31,-0.35,single,False,19.952623149688826
HD193193,HD193193,5979,4.4,-0.05,single,False,3.5481338923357604
HD193406,HD193406,4728,4.5,-0.34,single,False,19.952623149688826
HD193844,HD193844,5007,4.44,-0.3,single,False,0.025118864315095822
HD193901,HD193901,5611,4.41,-1.07,single,False,0.014125375446227554
HD19423,HD19423,5752,4.23,-0.09,single,False,10.0
HD19467,HD19467,5720,4.31,-0.14,single,False,10.0
HD194717,HD194717,5247,4.26,-0.28,single,False,0.011220184543019653
HD195145,HD195145,5625,4.41,0.17,single,False,5.011872336272715
HD195200,HD195200,6201,4.44,-0.08,single,False,0.17782794100389226
HD195302,HD195302,5063,4.44,0.02,single,False,19.952623149688826
HD195564,HD195564,5676,4.03,0.06,single,False,10.0
HD195633,HD195633,6154,4.25,-0.51,single,False,0.015848931924611172
HD196050,HD196050,5917,4.32,0.23,HMPH,True,3.981071705534969
HD196384,HD196384,6611,4.79,-0.13,single,False,0.04466835921509635
HD196397,HD196397,5378,4.33,0.29,single,False,14.125375446227611
HD19641,HD19641,5806,4.39,-0.01,single,False,6.309573444801943
HD196761,HD196761,5415,4.43,-0.31,single,False,17.78279410038923
HD196800,HD196800,6010,4.37,0.19,single,False,0.025118864315095822
HD196892,HD196892,6072,4.5,-0.89,single,False,7.079457843841373
HD197083,HD197083,5735,4.5,-0.45,single,False,7.079457843841373
HD197197,HD197197,5812,4.2,-0.46,single,False,12.589254117941662
HD197210,HD197210,5577,4.42,-0.03,single,False,8.91250938133744
HD197300,HD197300,6022,4.69,0.02,single,False,0.07943282347242822
HD197536,HD197536,6105,4.39,-0.41,single,False,5.011872336272715
HD197823,HD197823,5396,4.41,0.12,single,False,10.0
HD1979,HD1979,5626,4.52,-0.09,single,False,1.9952623149688828
HD197921,HD197921,4913,4.36,0.13,single,False,0.015848931924611172
HD198075,HD198075,5846,4.56,-0.24,single,False,0.22387211385683467
HD199086,HD199086,6149,4.65,0.18,single,False,0.31622776601683794
HD199190,HD199190,5926,4.26,0.15,single,False,4.466835921509653
HD199288,HD199288,5746,4.46,-0.63,single,False,11.220184543019654
HD199289,HD199289,5928,4.64,-0.98,single,False,1.2589254117941662
HD199604,HD199604,5817,4.34,-0.62,single,False,14.125375446227611
HD199847,HD199847,5763,4.22,-0.54,single,False,0.01
HD199868,HD199868,6152,4.45,-0.13,single,False,1.2589254117941662
HD199933,HD199933,4730,4.32,-0.15,single,False,0.011220184543019653
HD19994,HD19994,6289,4.48,0.24,HMPH,True,0.07079457843841373
HD199960,HD199960,5973,4.39,0.28,single,False,1.2589254117941662
HD20003,HD20003,5494,4.41,0.04,LMPH,True,11.220184543019654
HD200083,HD200083,4828,4.42,-0.09,single,False,19.952623149688826
HD200143,HD200143,5112,4.46,0.02,single,False,17.78279410038923
HD200349,HD200349,4844,4.5,-0.26,single,False,0.03162277660168379
HD200505,HD200505,5052,4.47,-0.45,single,False,0.022387211385683375
HD200538,HD200538,6042,4.38,0.1,single,False,2.8183829312644493
HD200633,HD200633,5853,4.51,0.05,single,False,0.22387211385683467
HD201161,HD201161,4884,4.36,-0.04,single,False,0.017782794100389226
HD2014,HD2014,5054,4.37,-0.07,single,False,0.017782794100389226
HD201422,HD201422,5841,4.63,-0.16,single,False,0.04466835921509635
HD201496,HD201496,5974,4.44,-0.04,single,False,1.9952623149688828
HD202206,HD202206,5757,4.47,0.29,HMPH,True,0.5623413251903491
HD202209,HD202209,6009,4.68,-0.01,single,False,0.03162277660168379
HD202389,HD202389,4732,4.43,-0.25,single,False,0.022387211385683375
HD2025,HD2025,4939,4.58,-0.35,single,False,14.125375446227611
HD202605,HD202605,5658,4.49,0.18,single,False,1.0
HD202819,HD202819,4737,4.4,-0.26,single,False,0.017782794100389226
HD202871,HD202871,6055,4.54,-0.09,single,False,0.5623413251903491
HD203335,HD203335,6306,4.56,-0.04,single,False,0.07943282347242822
HD203384,HD203384,5586,4.4,0.26,single,False,6.309573444801943
HD203413,HD203413,4812,4.39,0.01,single,False,0.01995262314968879
HD203432,HD203432,5645,4.39,0.29,single,False,5.623413251903491
HD203771,HD203771,4963,4.43,0.13,single,False,19.952623149688826
HD203850,HD203850,4879,4.51,-0.68,single,False,0.022387211385683375
HD203897,HD203897,5184,4.42,-0.18,single,False,17.78279410038923
HD20407,HD20407,5866,4.5,-0.44,single,False,5.623413251903491
HD204287,HD204287,5743,4.15,-0.04,single,False,10.0
HD204313,HD204313,5776,4.38,0.18,HMPH,True,3.981071705534969
HD204385,HD204385,6033,4.44,0.07,single,False,1.4125375446227613
HD20492,HD20492,4770,4.3,0.02,single,False,0.012589254117941687
HD204941,HD204941,5056,4.48,-0.19,HMPH,True,17.78279410038923
HD205294,HD205294,6370,4.3,-0.25,single,False,3.5481338923357604
HD205536,HD205536,5442,4.38,-0.05,single,False,14.125375446227611
HD205591,HD205591,6575,4.75,-0.08,single,False,0.050118723362727456
HD206116,HD206116,6231,4.57,0.24,single,False,0.0630957344480193
HD206163,HD206163,5519,4.43,0.01,single,False,10.0
HD206172,HD206172,5608,4.49,-0.24,single,False,7.943282347242854
HD20619,HD20619,5703,4.51,-0.22,single,False,5.623413251903491
HD206630,HD206630,4853,4.48,-0.41,single,False,0.025118864315095822
HD206998,HD206998,5822,4.24,-0.69,single,False,15.848931924611108
HD2071,HD2071,5719,4.47,-0.09,single,False,3.5481338923357604
HD207129,HD207129,5937,4.49,0.0,single,False,0.19952623149688828
HD207190,HD207190,6178,4.33,-0.42,single,False,5.623413251903491
HD207583,HD207583,5534,4.46,0.01,single,False,7.943282347242854
HD207699,HD207699,4874,4.36,-0.12,single,False,0.014125375446227554
HD207700,HD207700,5666,4.29,0.04,single,False,11.220184543019654
HD20781,HD20781,5256,4.37,-0.11,LMPH,True,19.952623149688826
HD20782,HD20782,5774,4.37,-0.06,HMPH,True,7.079457843841373
HD207832,HD207832,5718,4.45,0.15,HMPH,True,0.03162277660168379
HD207869,HD207869,5527,4.5,-0.45,single,False,0.028183829312644664
HD20794,HD20794,5401,4.4,-0.4,LMPH,True,19.952623149688826
HD207970,HD207970,5556,4.38,0.07,single,False,10.0
HD208,HD208,5914,4.47,-0.31,single,False,3.981071705534969
HD208068,HD208068,6007,4.64,-0.38,single,False,0.04466835921509635
HD20807,HD20807,5866,4.52,-0.23,single,False,1.9952623149688828
HD208272,HD208272,5199,4.42,-0.08,single,False,17.78279410038923
