Star,SimbadName,Teff,logg,feh,class,is_host,age_gyr,rbirth_kpc
HD20407,HD20407,5866,4.5,-0.44,single,False,5.623413251903491,8.264714884321643
HD204287,HD204287,5743,4.15,-0.04,single,False,10.0,3.9495385285409936
HD204313,HD204313,5776,4.38,0.18,HMPH,True,3.981071705534969,2.5127510688368693
HD204385,HD204385,6033,4.44,0.07,single,False,1.4125375446227613,5.1056140116737865
HD205294,HD205294,6370,4.3,-0.25,single,False,3.5481338923357604,7.347972970373675
HD206163,HD206163,5519,4.43,0.01,single,False,10.0,3.5627190529463952
HD206172,HD206172,5608,4.49,-0.24,single,False,7.943282347242854,5.773906907222815
HD20619,HD20619,5703,4.51,-0.22,single,False,5.623413251903491,6.135488886091733
HD2071,HD2071,5719,4.47,-0.09,single,False,3.5481338923357604,5.590233049889358
HD207129,HD207129,5937,4.49,0.0,single,False,0.19952623149688828,7.6222776311989575
HD207190,HD207190,6178,4.33,-0.42,single,False,5.623413251903491,8.071148779596808
HD207583,HD207583,5534,4.46,0.01,single,False,7.943282347242854,3.638456216609004
HD207700,HD207700,5666,4.29,0.04,single,False,11.220184543019654,3.339047796879303
HD20782,HD20782,5774,4.37,-0.06,HMPH,True,7.079457843841373,4.334336797016216
HD207970,HD207970,5556,4.38,0.07,single,False,10.0,3.098535667822728
HD208,HD208,5914,4.47,-0.31,single,False,3.981071705534969,7.748267337797549
HD20807,HD20807,5866,4.52,-0.23,single,False,1.9952623149688828,8.300033659062187
HD208704,HD208704,5826,4.38,-0.09,single,False,6.309573444801943,4.73114509227876
HD209566,HD209566,5500,4.38,0.12,single,False,8.91250938133744,2.6937317690318947
HD210277,HD210277,5505,4.3,0.18,HMPH,True,11.220184543019654,2.313331436559152
HD210320,HD210320,5597,4.31,0.11,single,False,8.91250938133744,2.7751551168775004
HD210752,HD210752,5951,4.53,-0.58,single,False,3.981071705534969,10.633143389323088
HD210918,HD210918,5755,4.35,-0.09,single,False,7.943282347242854,4.492636540585572
HD211317,HD211317,5965,4.3,0.27,single,False,3.5481338923357604,1.6353179832462077
HD211415,HD211415,5850,4.39,-0.21,single,False,8.91250938133744,5.380702733257936
HD212036,HD212036,5687,4.41,-0.01,single,False,7.079457843841373,3.887718194479066
HD212301,HD212301,6271,4.55,0.18,HMPH,True,0.2818382931264461,4.966597018579188
HD212563,HD212563,5018,4.52,-0.02,single,False,12.589254117941662,3.7851589518576745
HD212708,HD212708,5681,4.35,0.27,single,False,6.309573444801943,1.3788795472225246
HD213628,HD213628,5555,4.44,0.01,single,False,8.91250938133744,3.5893887621626703
HD214094,HD214094,6288,4.28,-0.01,single,False,3.1622776601683795,4.886754002952701
HD21411,HD21411,5473,4.51,-0.26,HMPH,True,8.91250938133744,5.7878195331510955
HD214385,HD214385,5654,4.43,-0.34,single,False,11.220184543019654,6.123134920238819
HD214759,HD214759,5461,4.37,0.18,single,False,10.0,2.2475327494638675
HD214954,HD214954,5738,4.48,0.14,single,False,1.584893192461111,4.071013801024007
HD215257,HD215257,6052,4.46,-0.63,single,False,5.623413251903491,10.103591869682209
HD215456,HD215456,5789,4.1,-0.09,single,False,8.91250938133744,4.403622437780407
