age,feh,gaia_id
11.26,-0.52,4329014708643728768
3.18,0.06,4062459791186966656
9.9,-0.48,4330498155988206336
11.38,-0.59,4330230699785692160
4.36,-0.08,4111601192085206144
4.71,0.15,4330567558362047488
9.27,-0.04,4050370837011544960
8.85,0.24,4049669382988697984
5.99,0.39,4050338568847606528
9.97,-0.42,4331337010343086720
10.68,-0.4,4330564401563876864
7.52,-0.26,4330498637024550272
3.61,0.1,4050387226616016000
10.07,0.1,4330283575124430080
10.83,-0.12,4420196726897225344
5.37,-0.07,4419127245681011840
9.43,0.18,4050371794716063616
11.16,-0.86,4330498941965141632
9.76,-0.28,4327206527412843904
6.58,-0.52,4330568932751580416
10.06,-0.12,4330564607722304896
8.59,-0.41,4330563813150565888
2.52,0.26,4062481648362511744
5.23,-0.11,4062646330211026688
6.62,-0.66,4331338212933929216
11.29,-0.38,4419141676771143168
8.66,-0.31,4330284094819155328
11.29,-0.42,4330301579627724672
8.81,-0.23,4330305913253099520
9.24,-0.17,4327211406495715840
10.52,-0.4,4330515301497706624
7.94,-0.11,4330215031744953600
10.25,-0.04,4111602429035603840
6.45,-0.32,4127743813805673600
8.77,0.1,4330285533629516672
6.58,-0.08,4419125527694087680
4.24,0.08,4062419281055422080
4.93,-0.46,4066826471579481856
7.06,-0.21,4330219842108510080
7.34,-0.65,4418865046517624320
8.82,-1.0,4419071406810787968
7.65,-0.64,4331340313174959360
7.67,-0.27,4418773782756332544
11.05,-1.07,4330288969603353088
9.54,-0.41,4330583883535596288
3.22,0.27,4330495368552307072
9.43,0.17,4420179787546331904
5.52,0.03,4330237537373618816
8.96,-0.17,1176243834154877056
